"ScalingFactors","MinDate","NumPlaces","observationPeriods","MeasurementMethods","Units","StatVar"
"[]","1998","176","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_UAEP_1_F"
"[]","1998","151","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NIR_1_AGP1_GPI"
"[]","1999","197","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_3_PU"
"[]","1997","224","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_GTVP_3_GPV_M"
"[]","1998","125","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_FUK_M"
"[]","1998","142","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FGP_56_FNON400500"
"[]","1998","75","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FEP_4_GPV"
"[]","1999","190","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_3_PR"
"[]","1998","157","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FEP_56_F300"
"[]","1998","152","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_F200_M"
"[]","1998","175","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_UAEP_1_M"
"[]","1998","113","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_ECDP_1_M"
"[]","1970","231","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_1_G1"
"[]","1997","198","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_3_V"
"[]","1970","206","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_1_GPI"
"[]","1970","211","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_1_G5"
"[]","1970","231","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_1_G4"
"[]","1970","232","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_1_G3"
"[]","1998","145","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_F800"
"[]","1970","232","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_1_G2"
"[]","1998","139","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_GGR_2_M"
"[]","1998","124","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_TRTP_0"
"[]","1999","184","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_1_PR_F"
"[]","1970","152","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_2_GPV_G4_M"
"[]","1970","158","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_1_G5_F"
"[]","1970","79","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_1_G7"
"[]","1970","192","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_1_G6"
"[]","1970","231","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_1_G4_F"
"[]","1998","138","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSGP_56_F140_M"
"[]","1998","113","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_ECDP_1_F"
"[]","1998","156","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NERA_3_F"
"[]","1970","152","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_2_GPV_G4_F"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/5_51_01_03_mortal"
"[]","1998","156","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NERA_3_M"
"[]","1998","157","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_F140"
"[]","1999","126","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_G_8_T"
"[]","1998","140","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSGP_56_F200_M"
"[]","1998","143","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_F600_M"
"[]","1998","159","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XUNIT_US_1_FSGOV"
"[]","1998","153","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NER_3_M"
"[]","1998","135","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XPUBP_UK"
"[]","1970","191","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_TE_100000_56_F"
"[]","1998","165","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_UAPP_23_F"
"[]","1998","141","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_F600_F"
"[]","1970","216","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NIRA_1_M"
"[]","1970","216","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NIRA_1_F"
"[]","1998","153","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NER_3_F"
"[]","1995","142","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_EA_2T6_AG25T99_GPI"
"[]","1999","117","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_G_8_F"
"[]","1999","147","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_T_23_V"
"[]","1970","177","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_2_GPV_G2_T"
"[]","1970","205","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_2_GPV_G2_T"
"[]","1970","140","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_1_G6_M"
"[]","1970","140","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_1_G5_F"
"[]","1970","200","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_OAEP_1"
"[]","1970","171","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_2_GPV_G2_M"
"[]","1998","125","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XUNIT_USCONST_2_FSGOV"
"[]","1998","145","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_GGR_2"
"[]","1998","154","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FEP_56_F200"
"[]","1970","214","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NERA_1_GPI"
"[]","1970","141","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_1_G5_M"
"[]","1970","172","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_2_GPV_G2_F"
"[]","1999","175","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_T_23_GPV_F"
"[]","1998","122","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSGP_56_F600_M"
"[]","1998","160","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_F300"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/5_51_01_06_matern"
"[]","1997","120","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_2_V"
"[]","1970","205","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_2_GPV_G2_F"
"[]","1970","140","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_1_G6_F"
"[]","1970","232","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_1_G3_F"
"[]","1998","149","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XUNIT_PPP_56_FSGOV"
"[]","1998","132","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XGOVEXP_IMF_2"
"[]","1998","139","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XGOVEXP_IMF_3"
"[]","1998","113","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XGOVEXP_IMF_4"
"[]","1998","173","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NIR_1_GPI"
"[]","1998","146","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XGOVEXP_IMF_0"
"[]","1998","159","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XGOVEXP_IMF_1"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/5_51_01_07_gender"
"[]","1970","164","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_LR_AG65_GPI"
"[]","1998","157","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_F200"
"[]","1998","161","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOFSTP_3"
"[]","1970","166","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOFSTP_2"
"[]","1970","189","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOFSTP_1"
"[]","1970","202","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_2_GPV"
"[]","1998","153","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XUNIT_PPP_1_FSGOV"
"[]","1970","188","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_2_GPV_G1_T"
"[]","1970","201","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_2_GPV_G3_T"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/5_14_01_01_povsurv"
"[]","1998","104","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XGDP_4_FSGOV_FDINSTADM_FFD"
"[]","1997","227","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FEP_3_GPV"
"[]","1970","217","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_SLE_0_F"
"[]","1970","185","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_2_GPV_G1_M"
"[]","1999","140","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_GGR_1_GPI"
"[]","1970","183","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_2_GPV_G1_F"
"[]","1970","217","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_SLE_0_M"
"[]","1970","184","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_AIR_2_GPV_F"
"[]","1998","127","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XUNIT_USCONST_3_FSGOV"
"[]","1970","201","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_2_GPV_G3_F"
"[]","1970","184","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_AIR_2_GPV_M"
"[]","1970","110","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_2_GPV_G6_M"
"[]","1970","108","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_2_GPV_G6_F"
"[]","1970","232","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_1_G2_F"
"[]","1998","134","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XUNIT_US_3_FSGOV"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/5_04_01_02_impexp"
"[]","1999","184","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_3_PR_F"
"[]","1998","153","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_F500_F"
"[]","1970","200","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_2_GPV_F"
"[]","1998","148","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XUNIT_USCONST_23_FSGOV"
"[]","1998","86","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XUNIT_US_4_FSGOV"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/5_13_01_01_hlthsurv"
"[]","1998","153","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_F500_M"
"[]","1970","169","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_OAPP_1"
